TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	9691.459981	205.862000	60.000000	0.000000	2.000000	2.000000	0.000000	0.111520	1.000000	0.849000	0.849000	0.025393	1415.759997
CCGT	0.001497	0.000038	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.002052	0.961540	0.048263	0.000366
CCGT_AMMONIA	1901.281453	48.153541	25.000000	0.000000	2.532105	Infinity	0.000000	0.104771	1.000000	0.630000	0.630000	0.048263	465.375522
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	37809.862530	431.792240	25.000000	0.000000	59.174994	59.200000	0.000000	0.460198	1.000000	0.118410	1.000000	0.048263	123168.608130
WIND_ONSHORE	9788.199999	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.158718	1.000000	0.241662	1.000000	0.041639	6228.499999
WIND_OFFSHORE	27919.199996	194.247600	30.000000	0.000000	6.000000	6.000000	0.000000	0.161199	1.000000	0.409066	1.000000	0.041639	3737.099999
HYDRO_RIVER	580.165798	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.003595	1.000000	0.476010	1.000000	0.033427	145.224299
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	2351.678120	151.163097	25.000000	0.000000	1.795448	Infinity	0.000000	0.182633	1.000000	0.824357	0.850000	0.048263	1839.113553
IND_COGEN_WOOD	0.001191	0.000044	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001232	0.850000	0.048263	0.000196
IND_COGEN_WASTE	0.001310	0.000048	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000816	0.850000	0.048263	0.000320
IND_BOILER_GAS	66.549231	1.333346	17.000000	0.000000	1.130060	Infinity	0.000000	0.111808	1.000000	0.801823	0.950000	0.067080	13.922339
IND_BOILER_WOOD	348.309685	6.966163	17.000000	0.000000	3.024047	Infinity	0.000000	0.284934	1.000000	0.763598	0.900000	0.067080	87.304225
IND_BOILER_OIL	0.000821	0.000018	17.000000	0.000000	0.000015	Infinity	0.000000	0.000000	1.000000	0.002490	0.950000	0.067080	0.000184
IND_BOILER_COAL	0.001022	0.000020	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.007313	0.900000	0.067080	0.000427
IND_BOILER_WASTE	251.360342	5.027185	17.000000	0.000000	2.182326	Infinity	0.000000	0.205601	1.000000	0.763509	0.900000	0.067080	63.003760
IND_DIRECT_ELEC	6781.245451	30.762499	15.000000	0.000000	20.404542	Infinity	0.000000	0.215024	1.000000	0.085402	0.950000	0.074944	29.994677
