Name	C_inv	C_maint	C_op
NUCLEAR	246.099386	205.862000	0.000000
CCGT	0.000072	0.000038	0.000000
CCGT_AMMONIA	91.762410	48.153541	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1824.834557	431.792240	0.000000
WIND_ONSHORE	407.572702	113.845000	0.000000
WIND_OFFSHORE	1162.532825	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	113.500109	151.163097	0.000000
IND_COGEN_WOOD	0.000057	0.000044	0.000000
IND_COGEN_WASTE	0.000063	0.000048	0.000000
IND_BOILER_GAS	4.464100	1.333346	0.000000
IND_BOILER_WOOD	23.364494	6.966163	0.000000
IND_BOILER_OIL	0.000055	0.000018	0.000000
IND_BOILER_COAL	0.000069	0.000020	0.000000
IND_BOILER_WASTE	16.861165	5.027185	0.000000
IND_DIRECT_ELEC	508.216071	30.762499	0.000000
DHN_HP_ELEC	114.741516	80.615228	0.000000
DHN_COGEN_GAS	0.000053	0.000032	0.000000
DHN_COGEN_WOOD	0.000039	0.000029	0.000000
DHN_COGEN_WASTE	0.000056	0.000043	0.000000
DHN_COGEN_WET_BIOMASS	0.000033	0.000055	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000099	0.000065	0.000000
DHN_BOILER_GAS	0.000028	0.000008	0.000000
DHN_BOILER_WOOD	0.000017	0.000005	0.000000
DHN_BOILER_OIL	0.000011	0.000003	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000009	0.000000	0.000000
DEC_HP_ELEC	538.024815	351.581071	0.000000
DEC_THHP_GAS	0.000114	0.000057	0.000000
DEC_COGEN_GAS	0.000087	0.000096	0.000000
DEC_COGEN_OIL	0.000082	0.000087	0.000000
DEC_ADVCOGEN_GAS	0.000153	0.000049	0.000000
DEC_ADVCOGEN_H2	0.000162	0.000052	0.000000
DEC_BOILER_GAS	0.000105	0.000047	0.000000
DEC_BOILER_WOOD	0.000108	0.000057	0.000000
DEC_BOILER_OIL	0.000081	0.000072	0.000000
DEC_SOLAR	0.000257	0.000049	0.000000
DEC_DIRECT_ELEC	0.000120	0.000007	0.000000
TRAMWAY_TROLLEY	207.241623	99.541625	0.000000
BUS_COACH_DIESEL	0.000176	0.000113	0.000000
BUS_COACH_HYDIESEL	0.000196	0.000101	0.000000
BUS_COACH_CNG_STOICH	288.291924	187.176956	0.000000
BUS_COACH_FC_HYBRIDH2	0.000039	0.000015	0.000000
TRAIN_PUB	831.863814	898.139700	0.000000
CAR_GASOLINE	0.000013	0.000006	0.000000
CAR_DIESEL	0.000013	0.000006	0.000000
CAR_NG	0.000024	0.000012	0.000000
CAR_METHANOL	0.000024	0.000012	0.000000
CAR_HEV	0.000010	0.000007	0.000000
CAR_PHEV	0.004644	0.003155	0.000000
CAR_BEV	7957.105446	1769.645620	0.000000
CAR_FUEL_CELL	0.000019	0.000003	0.000000
TRAIN_FREIGHT	26.982708	16.143514	0.000000
