Techno,Réf [GW],Scenario_emissions_100000 [GW],Différence [GW],Δ [%]
AMMONIA_STORAGE,1.54282,1.01637,-0.53,-34.1%
AMMONIA_TO_H2,2e-06,1e-06,-0.00,-50.0%
ATM_CCS,0.0,0.0,+0.00,NA
BATT_LI,13.6368,6.1e-05,-13.64,-100.0%
BEV_BATT,175.560064,175.560113,+0.00,+0.0%
BIOMASS_TO_HVC,1e-06,1e-06,+0.00,+0.0%
BIOMASS_TO_METHANOL,1e-06,1.703594,+1.70,+170359300.0%
BIOMETHANATION,2e-06,2e-06,+0.00,+0.0%
BIO_HYDROLYSIS,2.20987,2.209868,-0.00,-0.0%
BOAT_FREIGHT_DIESEL,27.8287,1e-05,-27.83,-100.0%
BOAT_FREIGHT_METHANOL,1e-06,0.0,-0.00,-100.0%
BOAT_FREIGHT_NG,1e-06,27.828691,+27.83,+2782869000.0%
BUS_COACH_CNG_STOICH,6.125782,21.440263,+15.31,+250.0%
BUS_COACH_DIESEL,6e-06,0.0,-0.00,-100.0%
BUS_COACH_FC_HYBRIDH2,0.0,0.0,+0.00,NA
BUS_COACH_HYDIESEL,2e-06,0.0,-0.00,-100.0%
CAR_BEV,176.964545,176.964594,+0.00,+0.0%
CAR_DIESEL,0.0,0.0,+0.00,NA
CAR_FUEL_CELL,0.0,0.0,+0.00,NA
CAR_GASOLINE,0.0,0.0,+0.00,NA
CAR_HEV,0.0,0.0,+0.00,NA
CAR_METHANOL,0.0,0.0,+0.00,NA
CAR_NG,0.0,0.0,+0.00,NA
CAR_PHEV,0.000111,4.6e-05,-0.00,-58.6%
CCGT,3e-06,10.613482,+10.61,+353782633.3%
CCGT_AMMONIA,2.533598,1e-06,-2.53,-100.0%
CO2_STORAGE,0.001389,0.000418,-0.00,-69.9%
COAL_IGCC,0.0,0.0,+0.00,NA
COAL_US,0.0,0.0,+0.00,NA
DEC_ADVCOGEN_GAS,1e-06,0.0,-0.00,-100.0%
DEC_ADVCOGEN_H2,1e-06,0.0,-0.00,-100.0%
DEC_BOILER_GAS,1.2e-05,4e-06,-0.00,-66.7%
DEC_BOILER_OIL,1e-05,4e-06,-0.00,-60.0%
DEC_BOILER_WOOD,4e-06,2e-06,-0.00,-50.0%
DEC_COGEN_GAS,1e-06,1e-06,+0.00,+0.0%
DEC_COGEN_OIL,1e-06,1e-06,+0.00,+0.0%
DEC_DIRECT_ELEC,5.4e-05,1.6e-05,-0.00,-70.4%
DEC_HP_ELEC,18.592433,18.481609,-0.11,-0.6%
DEC_SOLAR,1e-05,5e-06,-0.00,-50.0%
DEC_THHP_GAS,8e-06,0.110825,+0.11,+1385212.5%
DHN,7.580443,7.41796,-0.16,-2.1%
DHN_BOILER_GAS,4e-06,1e-06,-0.00,-75.0%
DHN_BOILER_OIL,4e-06,1e-06,-0.00,-75.0%
DHN_BOILER_WOOD,3e-06,2e-06,-0.00,-33.3%
DHN_COGEN_BIO_HYDROLYSIS,0.0,0.0,+0.00,NA
DHN_COGEN_GAS,1e-06,1e-06,+0.00,+0.0%
DHN_COGEN_WASTE,1e-06,0.0,-0.00,-100.0%
DHN_COGEN_WET_BIOMASS,1e-06,0.0,-0.00,-100.0%
DHN_COGEN_WOOD,1e-06,1e-06,+0.00,+0.0%
DHN_DEEP_GEO,0.0,0.0,+0.00,NA
DHN_HP_ELEC,7.580425,6.813447,-0.77,-10.1%
DHN_SOLAR,1e-06,1e-06,+0.00,+0.0%
DIESEL_STORAGE,1.567521,1.02916,-0.54,-34.3%
EFFICIENCY,0.985222,0.985222,+0.00,+0.0%
GASIFICATION_SNG,1e-06,0.0,-0.00,-100.0%
GASOLINE_STORAGE,1.560159,1.029014,-0.53,-34.0%
GAS_STORAGE,9107.35081,22460.229339,+13352.88,+146.6%
GAS_TO_HVC,2e-06,1e-06,-0.00,-50.0%
GEOTHERMAL,0.0,0.0,+0.00,NA
GRID,1.369056,1.336837,-0.03,-2.4%
H2_BIOMASS,1e-06,0.0,-0.00,-100.0%
H2_ELECTROLYSIS,4e-06,1.4e-05,+0.00,+250.0%
H2_STORAGE,0.004118,0.008928,+0.00,+116.8%
HABER_BOSCH,2e-06,1e-06,-0.00,-50.0%
HYDRO_RIVER,0.115,0.115,+0.00,+0.0%
INDUSTRY_CCS,1e-06,0.0,-0.00,-100.0%
IND_BOILER_COAL,1.1e-05,3.469225,+3.47,+31538309.1%
IND_BOILER_GAS,0.000104,2e-05,-0.00,-80.8%
IND_BOILER_OIL,1.9e-05,6e-06,-0.00,-68.4%
IND_BOILER_WASTE,2.230829,1.851363,-0.38,-17.0%
IND_BOILER_WOOD,3.092925,4e-06,-3.09,-100.0%
IND_COGEN_GAS,3.380576,1.79736,-1.58,-46.8%
IND_COGEN_WASTE,1e-06,0.0,-0.00,-100.0%
